Unnamed: 0,Product Name,Rating,Rating Info,RAM/ROM,Display,Camera,Battery,Processor,Warranty,Price,Original Price,Offer,Deals,Exchangable_amount
891,"OPPO F27 Pro+ (Midnight Navy, 256 GB)",4.4,"15,728 Ratings & 673 Reviews",8 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,64MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 7050 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"₹22,800","₹34,999",34% off,Bank Offer,"₹17,850"
892,"OPPO F31 Pro 5G (Desert Gold, 128 GB)",4.3,383 Ratings & 33 Reviews,8 GB RAM | 128 GB ROM,16.69 cm (6.57 inch) Full HD+ Display,50MP + 2MP | 32MP Front Camera,7000 mAh Battery,Dimensity 7300 Processor,,"₹26,999","₹31,999",15% off,,"₹24,200"
893,"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB)",4.5,"1,91,698 Ratings & 6,667 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) HD Display,32MP + 2MP | 8MP Front Camera,5100 mAh Battery,Dimensity 6300 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"₹12,999","₹16,999",23% off,,"₹10,100"
894,"Apple iPhone 15 (Pink, 128 GB)",4.6,"2,69,391 Ratings & 9,459 Reviews",,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,,"A16 Bionic Chip, 6 Core Processor Processor",,"₹59,900",,,Bank Offer,"₹42,800"
895,"MOTOROLA Razr 50 Ultra (Midnight blue, 512 GB)",4,48 Ratings & 5 Reviews,12 GB RAM | 512 GB ROM,17.53 cm (6.9 inch) Full HD+ Display,,4000 mAh Battery,Octa-core Processor,,"₹55,799","₹1,19,000",53% off,Bank Offer,
896,"OPPO K13 Turbo 5G (White Knight, 256 GB)",4.5,"6,837 Ratings & 413 Reviews",8 GB RAM | 256 GB ROM,17.27 cm (6.8 inch) Full HD+ Display,50MP + 2MP | 16MP Front Camera,7000 mAh Battery,Dimensity 8450 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"₹29,999","₹35,999",16% off,Bank Offer,"₹23,700"
897,"Tecno Pova 6 Neo 5G (Midnight Shadow, 128 GB)",4.3,"5,583 Ratings & 336 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Display,108MP Rear Camera | 8MP Front Camera,5000 mAh Battery,Dimensity 6300 5G Processor,1 Year Manufacturer Warranty for Phone,"₹11,999","₹15,999",25% off,,"₹9,300"
898,"Tecno Pova 6 Neo 5G (Midnight Shadow, 256 GB)",4.1,701 Ratings & 56 Reviews,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Display,108MP Rear Camera | 8MP Front Camera,5000 mAh Battery,Dimensity 6300 5G Processor,1 Year Manufacturer Warranty for Phone,"₹13,999","₹16,999",17% off,Bank Offer,"₹11,000"
899,"POCO X6 Pro 5G (Yellow, 256 GB)",4.3,"25,330 Ratings & 2,581 Reviews",8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Display,64MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Battery,Dimensity D8300 Ultra Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹26,999","₹30,999",12% off,Bank Offer,"₹21,200"
900,"Tecno Pova 6 Neo 5G (Azure Sky, 256 GB)",4.1,701 Ratings & 56 Reviews,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Display,108MP Rear Camera | 8MP Front Camera,5000 mAh Battery,Dimensity 6300 5G Processor,1 Year Manufacturer Warranty for Phone,"₹13,999","₹16,999",17% off,Bank Offer,"₹11,000"
901,"vivo V60 5G (Auspicious Gold, 512 GB)",4.5,536 Ratings & 42 Reviews,16 GB RAM | 512 GB ROM,17.2 cm (6.77 inch) Display,50MP + 8MP + 50MP | 50MP Front Camera,6500 mAh Battery,7 Gen 4 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"₹45,999","₹50,999",9% off,,"₹36,600"
902,Lvix L1 310,3.4,"1,328 Ratings & 59 Reviews",16 MB RAM | 32 MB ROM,4.5 cm (1.77 inch) Display,0.3MP Rear Camera,1000 mAh Battery,,3 Months Domestic Warranty,₹619,₹999,38% off,Bank Offer,
903,UiSmart Ui-06,4,"3,650 Ratings & 316 Reviews",512 MB RAM | 256 MB ROM | Expandable Upto 32 TB,4.5 cm (1.77 inch) QVGA Display,2MP + 0MP | 0MP Front Camera,1050 mAh Battery,Feature Phone Processor,,"₹1,532","₹2,499",38% off,Bank Offer,
904,"OnePlus Nord 4 5G (Oasis Green, 256 GB)",4.5,"4,530 Ratings & 276 Reviews",8 GB RAM | 256 GB ROM,17.12 cm (6.74 inch) Display,50MP Rear Camera,5500 mAh Battery,,,"₹27,892","₹32,999",15% off,Bank Offer,"₹21,200"
905,"OnePlus Nord 4 5G (Mercurial Silver, 256 GB)",4.5,"4,530 Ratings & 276 Reviews",8 GB RAM | 256 GB ROM,17.12 cm (6.74 inch) Display,50MP Rear Camera,5500 mAh Battery,,,"₹27,349","₹33,082",17% off,Bank Offer,"₹21,200"
906,"REDMI Note 14 5G (Ivy Green, 256 GB)",4.2,"2,869 Ratings & 150 Reviews",8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Display,50MP Rear Camera,5110 mAh Battery,,,"₹18,799","₹24,999",24% off,Super Deals,
907,KARBONN K9,4.2,106 Ratings & 7 Reviews,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,6.1 cm (2.4 inch) FWVGA Display,2MP + 0MP | 0MP Front Camera,1800 mAh Battery,NA Processor,1 Year Manufacture Warranty,"₹1,297","₹1,890",31% off,Bank Offer,
908,"OPPO F31 Pro 5G (Desert Gold, 256 GB)",4.1,71 Ratings & 5 Reviews,12 GB RAM | 256 GB ROM,16.69 cm (6.57 inch) Full HD+ Display,50MP + 2MP | 32MP Front Camera,7000 mAh Battery,Dimensity 7300 Processor,,"₹35,999",,,Bank Offer,"₹31,450"
909,"Samsung Galaxy A36 5G (Awesome Black, 256 GB)",4.3,"1,596 Ratings & 123 Reviews",8 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP | 12MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 6 Gen 3 Processor,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,"₹33,999","₹38,999",12% off,Bank Offer,"₹26,900"
